layer_id,type,input_shape,output_shape,output_elements,flops,reg_features
71,Conv2d,"[1, 512, 28, 28]","[1, 256, 28, 28]",200704,205520896,"[512, 256.0]"
72,BatchNorm2d,"[1, 256, 28, 28]","[1, 256, 28, 28]",200704,0,[np.int64(200704)]
73,ReLU,"[1, 256, 28, 28]","[1, 256, 28, 28]",200704,0,[np.int64(200704)]
74,Conv2d,"[1, 256, 28, 28]","[1, 256, 14, 14]",50176,231211008,"[256, 576.0]"
75,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
76,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
77,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
78,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
79,Conv2d,"[1, 512, 28, 28]","[1, 1024, 14, 14]",200704,205520896,"[512, 256.0]"
80,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
81,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
82,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
83,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
84,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
85,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
86,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
87,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
88,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
89,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
90,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
91,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
92,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
93,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
94,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
95,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
96,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
97,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
98,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
99,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
100,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
101,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
102,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
103,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
104,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
105,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
106,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
107,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
108,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
109,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
110,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
111,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
112,Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,231211008,"[256, 2304.0]"
113,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
114,ReLU,"[1, 256, 14, 14]","[1, 256, 14, 14]",50176,0,[np.int64(50176)]
115,Conv2d,"[1, 256, 14, 14]","[1, 1024, 14, 14]",200704,102760448,"[256, 1024.0]"
116,BatchNorm2d,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
117,ReLU,"[1, 1024, 14, 14]","[1, 1024, 14, 14]",200704,0,[np.int64(200704)]
118,Conv2d,"[1, 1024, 14, 14]","[1, 256, 14, 14]",50176,102760448,"[1024, 256.0]"
